"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
1923,6,6,2009,2014,6,3,0.5,0,0,4,0,0,2007,6,1,1,1,1959,8,5,1,1,3393,1,1,1,1,1,12,1,129,1,932,42926,200,0
8266,4,4,1989,2014,26,3,0.75,0,0,8,0,1,1988,0,2,2,2,1963,1,11,1,1,2686,2,1,1,1,1,15,2,220,1,863,57859,25,0
14743,24,8,1994,2014,21,0,0,0,0,18,0,0,2012,7,3,3,1,1954,7,11,2,1,2360,3,1,1,2,2,67,1,58,2,601,44710,28400,1
36748,7,7,1995,2014,20,3,0.428571,0,0,74,0,0,1972,3,3,4,3,1948,7,22,3,1,1050,4,1,2,1,1,0,3,0,3,-1,65260,2000,1
39842,1,1,2014,2014,1,0,0,0,0,1,0,0,2000,0,4,5,4,1960,1,8,1,1,2417,3,1,1,1,1,58,1,41,2,178,29588,20,0
41332,3,3,2010,2014,5,3,1,0,0,0,0,0,2007,2,4,6,5,1971,4,13,1,1,8520,4,1,1,2,2,2,2,246,2,205,57859,50,0
62362,6,6,2005,2014,10,1,0.166667,0,0,0,0,0,2005,3,5,7,5,1948,7,18,1,1,137,4,1,1,1,1,23,1,153,1,377,47522,25,0
68219,9,5,2006,2014,9,0,0,2,0.222222,24,0,0,2006,0,5,7,5,1961,12,27,1,2,5645,1,2,1,2,3,69,1,96,2,33,38970,100,0
70742,4,3,2002,2014,13,0,0,0,0,2,0,0,2005,0,3,3,1,1980,11,5,2,1,581,4,1,1,1,1,13,2,70,1,810,74626,100,0
74702,16,13,1993,2013,21,9,0.5625,0,0,0,0,0,1991,5,4,8,6,1964,9,12,3,1,2020,5,1,1,2,2,99,1,88,1,205,67412,250000,0
83514,41,27,1983,2014,32,11,0.268293,0,0,6,1,4,1970,11,6,9,7,1949,1,3,1,3,1535,6,1,1,2,3,12,2,306,1,359,48237,1250,1
83546,22,19,1993,2014,22,14,0.636364,0,0,0,0,0,1970,22,3,10,8,-1,-1,-1,1,4,1152,3,1,1,2,3,15,2,437,1,526,48913,175,1
83549,16,11,1992,2014,23,10,0.625,0,0,3,0,0,1967,4,3,3,8,-1,-1,-1,1,4,1110,3,1,1,2,3,15,2,436,2,102,48913,62.5,1
83555,25,20,1986,2012,27,9,0.36,0,0,34,0,1,1972,5,4,11,8,1950,7,29,3,1,2706,6,1,1,2,2,25,1,124,2,68,65260,400,1
83576,14,11,1986,2014,29,9,0.642857,0,0,0,0,1,1969,7,3,12,8,-1,-1,-1,1,1,36,7,1,1,1,1,0,3,0,3,-1,49067,100,1
83577,10,10,1990,2014,25,0,0,0,0,0,0,0,1975,2,4,13,8,1952,6,26,1,1,755,1,1,1,1,1,2,2,18,1,557,53665,100,1
83580,29,23,1985,2013,29,1,0.0344828,0,0,1,0,0,1966,5,3,10,8,1945,11,13,1,1,12408,8,1,1,2,3,12,1,37,2,80,63415,100,1
83586,86,33,1977,2014,38,11,0.127907,0,0,3,0,1,1973,20,4,14,8,-1,-1,-1,1,4,1498,9,1,2,1,1,12,1,178,1,987,42926,250,1
83622,4,4,2005,2014,10,4,1,0,0,0,0,0,1973,0,4,15,8,-1,-1,-1,1,1,6256,6,1,1,2,3,25,2,80,2,562,51649,20,1
83636,46,25,1990,2014,25,3,0.0652174,0,0,0,0,0,1971,25,4,16,8,1936,2,8,1,1,264,4,1,1,2,2,1,2,132,2,647,45969,2000,1
83643,42,29,1984,2014,31,4,0.0952381,0,0,19,0,0,1974,9,4,17,8,1950,4,16,2,1,2021,10,1,1,1,1,27,1,17,2,217,56890,300,1
83698,9,9,1986,2014,29,2,0.222222,0,0,0,0,0,1973,2,4,15,8,-1,-1,-1,1,1,728,4,1,1,1,1,1,2,269,2,281,48098,50,1
83705,42,22,1984,2014,31,2,0.047619,0,0,0,2,0,1970,3,4,13,8,-1,-1,-1,1,1,686,3,1,1,1,1,0,3,0,3,-1,40852,250,1
83706,13,13,2000,2014,15,12,0.923077,0,0,0,0,0,1977,13,4,10,8,-1,-1,-1,1,1,17245,3,1,1,2,3,1,1,581,1,456,57262,250,1
83709,28,22,1989,2014,26,5,0.178571,2,0.0714286,0,0,0,1970,17,4,18,8,-1,-1,-1,1,1,1410,4,1,1,2,2,2,1,158,1,103,57821,1500,1
83719,32,20,1993,2014,22,1,0.03125,0,0,0,0,0,1969,22,3,12,8,-1,-1,-1,1,1,518,3,1,1,1,1,18,1,110,2,186,46828,200,1
83740,11,10,2001,2014,14,10,0.909091,0,0,0,0,0,1970,10,4,19,8,-1,-1,-1,1,1,6768,4,1,1,1,1,3,2,111,2,689,64830,100,1
83749,5,4,2010,2014,5,5,1,0,0,1,0,0,1973,3,4,18,8,1950,12,26,4,1,10305,1,1,1,1,1,1,2,141,1,55,53665,25,1
83763,31,25,1987,2014,28,14,0.451613,0,0,0,0,0,1972,19,3,20,8,1950,6,13,1,1,218,3,1,1,3,2,2,2,358,2,181,35588,25,1
83764,2,2,1996,2013,18,0,0,0,0,1,0,0,1967,2,3,3,8,-1,-1,-1,2,1,5082,4,1,1,1,1,91,1,119,2,820,56890,250,0
83765,2,2,1996,2013,18,0,0,0,0,1,0,0,1967,2,3,3,8,-1,-1,-1,2,1,5082,4,1,1,1,1,91,1,119,2,820,56890,250,0
83789,24,15,1984,2011,28,6,0.25,0,0,3,0,1,1976,18,4,21,8,1953,7,23,1,1,13975,4,1,1,2,3,4,1,665,2,759,52054,200,1
83813,58,27,1982,2014,33,2,0.0344828,1,0.0172414,6,0,0,1975,22,4,13,8,-1,-1,-1,1,1,141454,7,1,1,1,1,13,4,1,2,544,0,2000,1
83823,14,12,1993,2014,22,8,0.571429,0,0,0,0,0,1975,4,4,22,8,-1,-1,-1,5,1,2554,1,1,1,1,1,83,1,123,2,542,45773,65,1
83887,33,29,1983,2014,32,16,0.484848,0,0,0,0,1,1971,10,4,23,8,-1,-1,-1,1,1,52,3,1,1,1,1,8,2,124,2,522,82500,250,1
83894,15,15,1984,2014,31,0,0,0,0,3,0,0,1975,2,3,24,8,-1,-1,-1,1,1,1636,3,1,1,2,3,34,1,30,2,368,180540,750,1
83910,36,33,1982,2014,33,15,0.416667,0,0,0,0,0,1976,33,4,25,8,-1,-1,-1,2,1,6315,4,1,1,1,1,1,2,117,2,157,76550,35,1
83949,18,14,2000,2014,15,16,0.888889,0,0,3,0,0,1973,15,4,26,8,-1,-1,-1,1,1,6863,1,1,2,1,1,6,2,253,1,634,70507,300,1
83981,2,2,1989,1996,8,0,0,0,0,0,0,0,1971,0,3,11,8,-1,-1,-1,1,1,939,1,1,1,1,1,7,1,68,1,398,53249,50,0
83982,8,8,1993,2013,21,7,0.875,0,0,0,0,0,1971,2,3,12,8,-1,-1,-1,1,1,12888,2,1,1,2,2,15,2,352,1,883,55297,25,0
83992,2,2,2013,2014,2,0,0,0,0,0,0,0,1978,2,4,4,8,-1,-1,-1,1,1,5087,4,1,1,2,3,4,1,14,2,871,70507,500,1
84013,7,7,2003,2014,12,6,0.857143,0,0,0,0,0,1968,0,4,14,8,-1,-1,-1,1,1,3455,6,1,1,2,3,95,1,85,2,554,42926,100,0
84033,25,19,1992,2014,23,10,0.4,0,0,11,2,0,1967,11,3,20,8,-1,-1,-1,1,1,1839,4,1,1,1,1,2,2,29,2,390,57859,100,1
