coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
142498,I     ,I     ,93,91,0,6,6,0.545454545,0.461538462,0,1.098612289,1,1
142067,I     ,I     ,92,87,0,31,22,0.6875,0.6875,0,1.791759469,1,1
144885,I     ,I     ,93,85,0,2,2,0.166666667,0.153846154,0,0,0,1
189584,I     ,I     ,85,84,0,44,27,0.710526316,0.692307692,1,3.401197382,1,1
89981,A     ,I     ,84,83,1,46,27,0.710526316,0.692307692,1,2.944438979,1,1
16664,I     ,I     ,93,83,0,9,8,0.888888889,0.727272727,0,1.945910149,1,1
189970,I     ,rs    ,89,83,0,88,34,0.85,0.829268293,0,2.302585093,1,1
8444,I     ,I     ,90,82,0,18,11,0.647058824,0.647058824,0,3.218875825,1,1
189616,I     ,I     ,84,82,0,31,25,0.862068966,0.862068966,1,2.197224577,1,1
803,I     ,I     ,92,81,0,14,12,0.5,0.444444444,2,1.386294361,0,1
159295,P     ,I     ,87,81,0,10,6,0.24,0.24,1,2.397895273,1,1
122,I     ,rs    ,95,81,0,25,21,0.677419355,0.617647059,0,0,0,1
84083,A     ,I     ,83,81,1,34,32,1,0.941176471,1,1.098612289,0,1
140643,I     ,I     ,86,80,0,172,25,0.833333333,0.833333333,5,2.63905733,1,1
189766,I     ,I     ,86,80,0,29,19,0.009419931,0.009419931,0,2.302585093,1,1
112926,I     ,rs    ,86,80,0,28,25,0.833333333,0.833333333,5,2.63905733,1,1
55749,I     ,I     ,89,79,0,11,4,0.8,0.8,0,1.791759469,0,1
5398,I     ,I     ,93,79,0,21,9,0.409090909,0.36,0,0,0,1
549104,I     ,I     ,85,79,0,10,6,0.24,0.24,1,2.397895273,1,1
140367,I     ,rs    ,86,79,0,59,30,0.666666667,0.652173913,0,1.791759469,1,1
140454,A     ,I     ,85,79,1,167,34,0.85,0.829268293,0,2.302585093,1,1
53623,I     ,I     ,84,79,0,37,14,1,1,1,2.564949357,0,1
52807,I     ,I     ,87,78,0,9,8,0.888888889,0.727272727,0,1.945910149,1,1
169376,I     ,I     ,83,78,0,10,7,0.411764706,0.411764706,0,2.63905733,1,1
4973,I     ,I     ,91,77,0,28,18,0.857142857,0.857142857,0,1.791759469,1,1
72730,I     ,I     ,80,77,0,39,25,0.862068966,0.862068966,1,2.197224577,1,1
138813,P     ,rs    ,84,77,0,264,46,0.022806148,0.022806148,3,4.356708827,1,1
72820,I     ,I     ,78,77,0,214,36,0.01784829,0.01784829,0,3.135494216,1,1
72637,I     ,I     ,85,77,0,27,22,0.628571429,0.628571429,0,2.708050201,0,1
101253,P     ,rs    ,78,76,0,211,34,0.739130435,0.739130435,4,3.258096538,1,1
72786,I     ,I     ,86,76,0,34,24,0.01189886,0.01189886,0,2.197224577,1,1
9824,I     ,I     ,90,76,0,58,35,0.833333333,0.795454545,3,3.17805383,0,1
189788,I     ,I     ,86,76,0,34,23,0.793103448,0.793103448,0,2.197224577,1,1
51683,I     ,I     ,81,75,0,8,7,0.7,0.7,0,0.693147181,1,1
8467,I     ,I     ,85,75,0,62,25,0.714285714,0.714285714,4,3.63758616,1,1
72854,I     ,I     ,82,75,0,341,23,0.958333333,0.92,0,2.079441542,1,1
140891,I     ,I     ,78,75,0,1054,30,1,1,0,0.693147181,1,1
63125,I     ,I     ,76,75,0,42,11,0.916666667,0.916666667,0,2.397895273,1,1
73129,I     ,I     ,81,75,0,29,19,0.009419931,0.009419931,0,2.197224577,1,1
108111,I     ,rs    ,82,75,0,35,23,0.958333333,0.92,0,2.302585093,1,1
58512,I     ,I     ,89,74,0,14,7,0.466666667,0.4375,0,0,1,1
10130,I     ,I     ,79,74,0,23,17,0.515151515,0.5,0,1.791759469,0,1
186070,I     ,I     ,80,74,0,8,7,0.7,0.7,0,0.693147181,1,1
189707,P     ,I     ,95,74,0,47,21,0.84,0.807692308,4,3.091042453,1,1
75824,I     ,I     ,90,74,0,15,8,0.003968254,0.003966287,0,0,1,1
144284,I     ,I     ,84,74,0,63,20,0.606060606,0.606060606,1,3.784189634,1,1
7381,I     ,I     ,81,73,0,62,31,0.015376984,0.01536936,0,1.791759469,1,1
53455,I     ,I     ,83,73,0,49,25,0.012394646,0.012394646,3,3.258096538,1,1
138523,I     ,S     ,75,73,0,79,35,0.945945946,0.945945946,4,3.33220451,1,1
138980,P     ,rs    ,80,73,0,39,35,0.945945946,0.945945946,2,2.302585093,1,1
108127,I     ,rs    ,79,73,0,1004,41,0.891304348,0.891304348,0,2.944438979,1,1
75715,I     ,I     ,81,73,0,19,12,0.00594943,0.00594943,0,3.258096538,1,1
28220,I     ,I     ,78,73,0,248,31,0.756097561,0.756097561,0,3.526360525,1,0
72798,I     ,I     ,76,72,0,31,22,0.6875,0.6875,0,1.945910149,1,1
93825,I     ,rs    ,76,72,0,83,30,1,1,0,2.397895273,1,1
189832,I     ,I     ,85,72,0,45,34,0.871794872,0.871794872,0,2.197224577,1,1
73007,I     ,I     ,85,71,0,29,19,0.009419931,0.009419931,0,1.791759469,1,1
76049,I     ,I     ,72,70,0,45,11,0.916666667,0.916666667,0,2.397895273,1,1
74910,P     ,I     ,75,69,0,40,35,0.945945946,0.945945946,2,2.302585093,1,1
120195,I     ,rs    ,82,69,0,63,36,0.9,0.9,2,3.218875825,1,1
138598,I     ,rs    ,75,69,0,1168,42,0.020823004,0.020823004,0,3.36729583,1,1
189731,I     ,I     ,78,69,0,25,18,0.75,0.75,1,2.63905733,1,1
189738,I     ,I     ,80,69,0,54,35,0.777777778,0.777777778,2,2.995732274,1,1
72873,I     ,I     ,81,68,0,631,37,0.018344075,0.018344075,2,3.218875825,1,1
108121,I     ,rs    ,75,68,0,62,37,0.804347826,0.804347826,3,1.791759469,0,1
93668,I     ,rs    ,77,68,0,30,21,0.954545455,0.954545455,0,1.386294361,1,1
553308,I     ,I     ,81,68,0,7,6,0.00297619,0.002974715,0,0,0,1
6022,I     ,I     ,70,68,0,93,26,0.896551724,0.896551724,1,1.791759469,1,1
72590,I     ,I     ,87,67,0,39,16,0.007936508,0.007932573,1,2.708050201,1,1
109622,I     ,rs    ,69,67,0,46,26,0.896551724,0.896551724,1,2.397895273,1,1
121961,I     ,rs    ,77,67,0,112,36,0.01784829,0.01784829,2,2.708050201,1,1
132455,A     ,I     ,78,67,1,54,36,0.8,0.8,1,2.833213344,1,1
84600,A     ,I     ,69,67,1,10,8,0.421052632,0.421052632,2,2.197224577,0,1
189990,I     ,I     ,72,67,0,8,6,0.181818182,0.176470588,0,2.397895273,1,0
63782,I     ,I     ,72,67,0,8,6,0.181818182,0.176470588,0,2.397895273,1,0
16207,I     ,I     ,74,67,0,37,20,0.952380952,0.952380952,0,2.564949357,0,0
