core_id,method,age,type1,stype1,type2,phone,email,mail,assigned,no_contact,no_phone,no_email,no_mail,no_personal,no_ask,geo_dist,e_sols,m_sols,p_sols
162,Lockbox,80,I     ,N     ,2,1,1,1,1,0,0,0,0,0,0,2,1,0,0
174,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,3,0,0,0
339,TOP Gift,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1
345,Staff,0,cf    ,N     ,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0
353,Staff,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,1,0,0
355,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
356,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,3,0,1,0
371,Lockbox,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
378,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
386,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
491,Staff,0,C     ,N     ,4,0,1,1,1,0,0,1,0,0,0,2,1,0,0
503,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
506,Staff,71,I     ,N     ,2,1,1,1,1,0,0,0,0,0,0,2,1,0,1
513,Online Giving,0,C     ,N     ,4,1,1,1,0,0,0,0,0,0,0,2,0,0,0
519,Lockbox,0,comf  ,N     ,5,0,1,1,1,0,0,0,0,0,0,2,0,1,0
519,Staff,0,comf  ,N     ,5,0,1,1,1,0,0,0,0,0,0,2,0,1,0
520,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
566,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
679,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
689,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
746,Staff,0,comf  ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,2,0
753,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,1,0
757,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
771,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,1,0
778,Staff,0,C     ,N     ,4,0,1,1,1,0,0,0,0,0,0,2,1,0,0
785,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
849,Lockbox,91,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0
894,Staff,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,1,0
1274,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
1280,Lockbox,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
1360,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
1402,Lockbox,0,I     ,N     ,2,1,0,1,1,0,0,0,0,0,0,2,0,1,1
1402,Staff,0,I     ,N     ,2,1,0,1,1,0,0,0,0,0,0,2,0,1,1
1411,Staff,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,1,0,0
1557,Lockbox,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,1,0
1606,Staff,0,F     ,N     ,5,0,1,1,1,0,0,1,0,0,0,2,1,1,0
1961,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,3,0,0,0
2420,Lockbox,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
