zip_code,median_income
601,12041
602,15663
603,15485
606,15019
610,16707
612,17848
616,15342
617,14982
622,14281
623,17389
624,14768
627,19527
631,11596
637,16430
638,13860
641,14924
646,28306
647,13925
650,16133
652,12809
653,12595
656,15054
659,19199
660,21107
662,15600
664,19342
667,14081
669,11790
670,15817
674,18048
676,14697
677,15875
678,14877
680,15115
682,15067
683,15587
685,14623
687,14797
688,14148
690,19474
692,18500
693,16406
694,10750
698,15099
703,14673
704,12612
705,15892
707,18446
714,16350
715,14114
716,18878
717,12407
718,17123
719,16672
720,14903
723,14506
725,20926
727,29433
728,18637
729,22438
730,16259
731,15733
735,19615
736,21206
738,22140
739,24638
740,11026
741,18397
745,23275
751,13565
754,17904
757,18033
765,17500
766,16517
767,17306
769,17710
771,18553
772,16432
773,18593
775,16188
777,18574
778,27475
780,21706
782,12527
783,16201
784,17540
786,22656
791,20364
794,14986
795,17278
901,13620
907,32570
909,16891
911,26611
912,18960
913,6926
915,13150
917,16802
918,26573
920,25463
921,18417
923,15959
924,19510
925,12847
926,35308
927,34572
934,82721
949,25514
952,18768
953,28488
956,22212
957,23736
959,26264
961,29931
962,16128
965,16139
966,52463
968,41936
969,50811
971,23241
976,30372
979,37906
982,26148
983,27125
985,25509
987,31546
1001,58733
1002,54422
1005,68644
1007,71875
1008,71635
1009,38644
1010,81196
1011,64891
1012,58750
1013,41273
1020,51255
1022,58938
1026,52155
1027,59963
1028,80469
1029,54330
1030,71228
1031,42404
1032,61806
1033,73816
1034,77500
1035,73250
1036,81130
1037,84444
1038,61603
1039,72188
1040,31628
1050,56184
1053,64896
1054,73000
1056,61073
1057,64747
1060,52607
1062,65756
1068,85556
1069,53417
1070,63889
1071,75363
1072,66705
1073,80000
1075,61431
1077,78476
1079,34906
1080,40559
1081,56726
1082,51717
1083,39521
1084,51667
1085,59881
1088,43234
1089,54126
1092,55370
1093,83750
1094,18241
1095,86667
1096,65365
1097,42031
1098,69079
1103,14133
1104,32273
1105,18402
1106,103472
1107,21737
1108,34064
1109,33376
1118,62283
1119,46055
1128,78864
1129,61435
1151,30043
1201,42633
1220,40443
1222,75598
1223,54904
1224,90223
1225,49788
1226,51827
1229,68125
1230,51467
1235,64420
1236,51964
1237,71932
1238,59477
1240,51464
1242,55167
1243,67411
1244,29125
1245,52500
1247,41103
1253,67917
1254,95125
1255,55917
1256,56500
1257,50543
1258,56607
1259,70074
1260,74615
1262,41648
1264,70625
1266,76953
1267,72352
1270,68456
1301,48319
1330,72560
1331,50498
1337,58875
1338,69886
1339,50536
1340,49886
1341,77500
1342,99675
1343,81806
1344,57500
1346,65000
1347,31250
1349,50714
1350,36875
1351,70799
1354,74583
1355,68929
1360,60608
1364,45758
1366,76094
1367,47279
1368,60750
1370,53516
1373,64127
1375,47000
1376,39792
1378,56094
1379,48188
1420,45363
1430,83532
1431,82778
1432,57543
1434,77396
1436,69076
1438,62422
1440,49067
1450,117127
1451,136058
1452,86979
1453,58896
1460,105455
1462,76063
1463,81193
1464,65882
1467,181810
1468,62096
1469,78985
1473,83840
1474,90521
1475,58288
1501,73612
1503,95962
1504,74294
1505,97938
1506,61800
1507,93963
1510,64723
1515,66042
1516,82831
1518,61719
1519,102300
1520,96780
1521,67684
1522,93238
1523,78283
1524,68899
1525,44857
1527,71832
1529,82083
1531,82569
1532,108415
1534,85000
1535,54439
1536,76063
1537,72607
1540,68986
1541,120607
1542,74273
1543,86482
1545,92360
1550,42471
1560,81667
1561,19637
1562,60197
1564,98872
1566,82750
1568,105208
1569,86164
1570,47885
1571,70590
1581,100905
1583,72107
1585,62667
1588,62649
1590,110658
1602,62832
1603,48183
1604,49797
1605,37705
1606,66912
1607,45152
1608,19418
1609,40660
1610,30532
1611,67179
1612,106708
1701,86994
1702,53944
1718,132981
1719,101502
1720,109578
1721,93233
1730,108818
1731,75446
1740,146029
1741,160034
1742,135217
1745,57250
1746,110323
1747,89408
1748,129578
1749,71971
1752,70304
1754,77622
1756,105389
1757,66547
1760,95328
1770,153444
1772,150129
1773,149539
1775,115714
1776,170924
1778,130022
1801,75138
1803,94272
1810,112681
1821,87996
1824,104538
1826,78169
1827,119022
1830,55255
1832,57833
1833,107775
1834,97463
1835,72228
1840,18261
1841,31214
1843,42891
1844,67556
1845,96002
1850,51538
1851,51630
1852,48951
1854,42947
1860,79423
1862,85497
1863,81160
1864,110852
1867,105524
1876,90897
1879,90987
1880,84556
1886,124464
1887,99508
1890,131000
1901,23467
1902,37275
1904,80903
1905,42490
1906,76339
1907,92399
1908,66964
1913,78486
1915,70563
1921,125833
1922,109301
1923,79478
1929,74211
1930,61449
1938,77087
1940,106239
1944,115650
1945,98399
1949,104245
1950,78638
1951,81106
1952,72131
1960,64430
1966,66402
1969,83237
1970,55698
1982,105865
1983,111696
1984,127606
1985,111652
2019,80179
2021,89900
2025,117829
2026,84704
2030,187829
2032,77955
