id,rid,grad_yr,type,type2,parent,degree,major,spouse_type,spouse_type2,median_income,re_val,title,affinity,latest_date,pldg_blc,cons_giving,fy16,fy15,fy14,ttl_giving,low_rating,high_rating
1503,1703,,I     ,I     , ,      , ,I     ,I     ,57859,458000,                                                  ,0, ,0,0,0,0,0,0,100000,249999
2021,2102,,I     ,I     , ,      , ,I     ,I     ,76550,692861,Associate                                         ,0,12/14/2012,0,0,0,0,0,9100,50000,99999
2771,2917,,I     ,I     , ,      , ,      ,      ,96975,79300,Chairman                                          ,0, ,0,0,0,0,0,0,25000,49999
4693,4716,,I     ,P     ,Parent,      , ,      ,      ,67412,897800,CEO                                               ,0, ,0,0,0,0,0,0,100000,250000
5994,6051,,I     ,I     , ,      , ,I     ,I     ,118761,1999645,                                                  ,0, ,0,0,0,0,0,0,250000,499999
38930,39028,,I     ,I     , ,      , ,      ,      ,49232,1753270,                                                  ,0,5/20/2004,0,0,0,0,0,200,250000,499999
40737,40813,,I     ,I     , ,      , ,I     ,I     ,118761,248600,Shareholder Dir                                   ,0, ,0,0,0,0,0,0,10000,50000
41049,41261,,I     ,I     , ,      , ,I     ,I     ,65139,663614,                                                  ,0,5/3/1999,0,0,0,0,0,250,50000,99999
48833,48916,,I     ,I     , ,      , ,      ,      ,47522,779000,                                                  ,0, ,0,0,0,0,0,0,250000,499999
50219,50470,,I     ,I     , ,      , ,      ,      ,53249,688294,                                                  ,0, ,0,0,0,0,0,0,50000,99999
57106,57212,,I     ,I     , ,      , ,      ,      ,51237,183000,Publisher                                         ,0, ,0,0,0,0,0,0,10000,14999
58030,58098,,I     ,I     , ,      , ,      ,      ,65260,324200,Partner                                           ,0, ,0,0,0,0,0,0,0,0
58641,58710,,I     ,I     , ,      , ,      ,      ,83138,1030000,                                                  ,0, ,0,0,0,0,0,0,100000,249999
61605,61704,,I     ,I     , ,      , ,      ,      ,42926,660000,                                                  ,0,12/31/2012,0,0,0,0,0,250,50000,99999
61767,61989,,I     ,I     , ,      , ,I     ,A     ,42926,722600,President                                         ,0, ,0,0,0,0,0,0,0,250000
62821,62974,,I     ,I     , ,      , ,I     ,I     ,47179,433600,Attorney                                          ,0, ,0,0,0,0,0,0,10000,50000
64338,64355,,I     ,I     , ,      , ,I     ,I     ,67412,1409674,President                                         ,0, ,0,0,0,0,0,0,0,0
71281,71400,,I     ,I     , ,      , ,I     ,I     ,118761,705278,First Vice President                              ,0,3/11/2015,0,13,0,2000,2750,15400,50000,99999
72518,72536,,I     ,I     , ,      , ,I     ,I     ,118761,780595,President                                         ,0,8/24/2015,0,4,225,200,700,3875,100000,249999
72792,72976,,I     ,P     ,Parent,      , ,I     ,P     ,96661,895000,Networking                                        ,0,6/17/2011,0,0,0,0,0,3086,100000,250000
73415,73620,,I     ,I     , ,      , ,      ,      ,47522,1380400,Sr. VP                                            ,0, ,0,0,0,0,0,0,25000,99999
76144,76316,,I     ,P     ,Parent,      , ,      ,      ,67412,723000,President                                         ,0, ,0,0,0,0,0,0,50000,99999
80300,80432,,I     ,I     , ,      , ,I     ,I     ,73864,1452558,Vice President                                    ,0, ,0,0,0,0,0,0,100000,249999
83441,83505,,I     ,I     , ,      , ,I     ,I     ,67412,435600,President and CEO                                 ,0, ,0,0,0,0,0,0,10000,50000
83483,83718,1972,I     ,A     , ,BBA   ,Business General,      ,      ,54446,373210,Vice President                                    ,0, ,0,0,0,0,0,0,10000,50000
83507,83582,1973,I     ,A     , ,BS    ,Group SS Soc,      ,      ,44710,116400,Billing Coordinator                               ,0, ,0,0,0,0,0,0,1000,10000
83622,83639,1973,I     ,A     , ,BS    ,Biology,      ,      ,51649,58800,                                                  ,4,11/10/2014,0,0,0,10,20,90,10000,50000
83683,83698,1973,I     ,A     , ,BS    ,Accounting,      ,      ,44710,168800,Owner                                             ,6, ,0,0,0,0,0,0,10000,50000
83736,83837,1973,I     ,A     , ,BS    ,Biology,I     ,I     ,83138,550500,Manager                                           ,2, ,0,0,0,0,0,0,25000,49999
83835,84063,1977,I     ,A     ,Parent,BS    ,Group SS Soc,I     ,A     ,38083,129200,                                                  ,1, ,0,0,0,0,0,0,1000,10000
83841,83852,1975,I     ,A     , ,BPH   ,Environmental Studies,      ,      ,65260,303800,Photographer                                      ,3, ,0,0,0,0,0,0,10000,50000
83918,84005,1972,I     ,A     ,Parent,BBA   ,Business General,      ,      ,53249,161400,RN                                                ,1, ,0,0,0,0,0,0,10000,50000
